_key,id,positive ratings,negative ratings,total reviews,rating percentage,info/0/id,info/0/category,info/0/cover,info/0/first_release_date,info/0/platforms/0,info/0/platforms/1,info/0/slug,info/0/summary,info/0/url,info/0/aggregated_rating,info/0/aggregated_rating_count,info/0/game_engines/0,info/0/game_modes/0,info/0/game_modes/1,info/0/game_modes/2,info/0/involved_companies/0,info/0/involved_companies/1,info/0/involved_companies/2,info/0/involved_companies/3,info/0/involved_companies/4,info/0/multiplayer_modes/0,info/0/multiplayer_modes/1,info/0/multiplayer_modes/2,info/0/multiplayer_modes/3,info/0/platforms/2,info/0/platforms/3,info/0/platforms/4,info/0/platforms/5,info/0/platforms/6,info/0/platforms/7,info/0/platforms/8,info/0/platforms/9,info/0/player_perspectives/0,info/0/storyline,info/0/game_localizations/0,info/0/game_localizations/1,info/0/game_modes/3,info/0/status,info/0/involved_companies/5,info/0/involved_companies/6,info/0/involved_companies/7,info/0/involved_companies/8,info/0/platforms/10,info/0/platforms/11,info/0/platforms/12,info/0/platforms/13,info/0/platforms/14,info/0/player_perspectives/1,info/0/player_perspectives/2,info/0/remakes/0,info/0/game_engines/1,info/0/game_engines/2,info/0/platforms/15,info/0/remasters/0,info/0/game_engines/3,info/0/remasters/1,info/0/player_perspectives/3
The Walking Dead: The Telltale Definitive Series,117514,"22,041",797,"22,838",94.24%,117514,3,340752,1568073600,6,48,the-walking-dead-the-telltale-definitive-series,"The Walking Dead: The Telltale Definitive Series contains all 4 Seasons and The Walking Dead: Michonne, which includes over 50 hours of gameplay across 23 unique episodes. With graphical enhancements, behind the scenes bonus features and faithful recreations of classic menus, this is the definitive way to experience Clementine's journey and find out how her story ends.",https://www.igdb.com/games/the-walking-dead-the-telltale-definitive-series,75,3,,1,,,77725,,,,,,,,,49,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Samsara Room,300426,"8,380",229,"8,609",94.24%,300426,0,,1378339200,82,,samsara-room--1,"Samsara Room is the first game created by the Rusty Lake developers, released in September 2013. It is the precursor for the Cube Escape series, and contains similar puzzles that have been carried into the Rusty Lake games.",https://www.igdb.com/games/samsara-room--1,,,,1,,,265708,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,75123,,,,,,,
Kindergarten 2,290175,"4,434",88,"4,522",94.24%,290175,0,366919,1425945600,6,,kindergarten-2-daddy,"""I don't know what happened there...
Since I was there I keep hearing strange voices
in my head.
The sounds are like some children's laugh,
and sometimes they keep saying:
""Help us""
I don't know what's going on, but I
must find it out before I get mad.""",https://www.igdb.com/games/kindergarten-2-daddy,,,,,,,257165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil Village,142813,"106,413","4,895","111,308",94.22%,142813,3,125672,1620345600,6,48,resident-evil-village-and-resident-evil-7-complete-bundle,"Experience survival horror like never before in this bundle containing the definitive version of Resident Evil 7 biohazard, and Resident Evil Village, the 8th major installment in the franchise. With detailed graphics, intense first-person action and masterful storytelling, the terror has never felt more real in this heart-pounding narrative of family tragedy.

This pack includes the following content:
• Resident Evil 7 biohazard Gold Edition
• Resident Evil Village
• Resident Evil Re:Verse
• Trauma Pack",https://www.igdb.com/games/resident-evil-village-and-resident-evil-7-complete-bundle,,,354,1,,,117813,,,,,,,,,49,167,169,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Handshakes,231165,"2,375",26,"2,401",94.22%,231165,0,281902,1655596800,3,6,handshakes,"Take your brain for a walk in Handshakes, a simple yet tricksy sokoban puzzle game. Guide two hands through puzzles designed to stump, not frustate, so that they may achieve their dream of a warm, firm handshake.",https://www.igdb.com/games/handshakes,,,,1,3,,,,,,,,,,,14,82,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Unheard,109148,"29,184","1,127","30,311",94.21%,109148,0,101431,1553817600,6,14,unheard,"Unheard is a narrative-centric detective game.
Put on your headphones and step back into the past. Use the voices you hear to return to crime scenes, tracking down each individual involved and solving the cases!
The game puts players in the role of a time-traveling detective who is only able to use one sense, sound. Also, the game’s story is a non-linear experience. Players must build their own timelines from the clues in conversations they overhear.",https://www.igdb.com/games/unheard,65,1,13,1,,,249689,249690,249691,,,,,,,34,39,48,49,130,,,,3,"Step through time as you use our device to eavesdrop on conversations from past crime scenes. Every clue, every move, and every motive will be presented in the form of audio. Rather than controlling any one character, you only need listen to their conversations, following along as the story evolves. Use the information you hear to match names to voices and determine how everything (and everyone) is related. Can you discover the truth?",27357,,,,,,,,,,,,,6,,,,,,,,,
Bopl Battle,244167,"12,291",388,"12,679",94.21%,244167,0,304156,1700092800,6,,bopl-battle,"A couch/online game where you battle your friends with unique and wild abilities. There are many choices such as a shrink ray, creating black holes, stopping time and attaching a rocket engine to the stage to send it flying. Choose a combination that synergizes well to win the round!",https://www.igdb.com/games/bopl-battle,,,,1,2,3,216154,216155,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
NEKOPARA Vol. 3,29271,"11,474",354,"11,828",94.21%,29271,0,173730,1495670400,6,48,nekopara-vol-3,"Patisserie ""La Soleil"", run by Kashou Minaduki, is flourishing thanks to the help of two catgirls: Maple, full of pride and a little on the haughty side, and Cinnamon, an impulsive daydreamer.",https://www.igdb.com/games/nekopara-vol-3,85,2,824,1,,,87715,107737,107738,129802,,,,,,130,,,,,,,,5,"Patisserie ""La Soleil"", run by Kashou Minazuki, is flourishing thanks to the help of two catgirls: Maple, full of pride and a little on the haughty side, and Cinnamon, an impulsive daydreamer.

These two are especially close among among the rest of the sisters. One day, Maple encounters something that shakes her belief in attaining her dream. Cinnamon, unwilling to see Maple suffer, wishes to help her in any way possible... but she can't figure out how. This story is a heartwarming cat comedy about their ambitions and the bonds between family members... with a little ecchi on the side, too.",6597,,,,,,,,,,,,,,,,,,,,,,
Marco & The Galaxy Dragon,128160,"6,497",162,"6,659",94.21%,128160,0,230409,1582848000,6,130,marco-and-the-galaxy-dragon,"Marco, an orphan with missing memories, and Arco, a dragon who rules the galaxy, were hunting for treasure in space! On one of their adventures, Marco was given a clue to the whereabouts of her mother. Their next stop, her birthplace - Earth!",https://www.igdb.com/games/marco-and-the-galaxy-dragon,,,,1,,,90133,90134,,,,,,,,,,,,,,,,,,23547,,,,,,,,,,,,,,,,,,,,,,
Fallen Aces,152263,"4,382",88,"4,470",94.21%,152263,0,152722,1718323200,6,,fallen-aces,"The A.C.E.S. Watchful guardians of Switchblade City. Being taken down, one by one. Now it's up to one man, with two fists, to get to the bottom of it all. Fallen Aces is a crime noir FPS that plays right out of the '90s and looks right out of the comics.",https://www.igdb.com/games/fallen-aces,,,13,1,,,138988,138989,138990,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Enter the Gungeon,11182,"77,683","3,491","81,174",94.18%,11182,0,82132,1459814400,3,6,enter-the-gungeon,"Enter the Gungeon is a gunfight dungeon crawler following a band of regretful misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past. Select a hero and battle your way to the bot¬tom of the Gungeon by surviving a challenging and evolving series of floors filled with the dangerously adorable Gundead and fearsome Gungeon bosses armed to the teeth. Gather precious loot, discover hidden secrets, and chat with opportunistic merchants and shopkeepers to purchase powerful items to gain an edge.",https://www.igdb.com/games/enter-the-gungeon,82.46153846153847,16,13,1,2,3,128673,128674,290022,,,4172,10491,,,14,48,49,130,170,,,,3,,4868,24461,,,,,,,,,,,,,,,,,,,,,
The Planet Crafter,317867,"39,981","1,644","41,625",94.18%,317867,1,413466,1728432000,6,,the-planet-crafter-planet-humble,"Experience a fresh start as a Planet Crafter on the brand new world of Planet Humble!
Alone or with friends, scout this unknown land, discover its story, novelties and secrets and accomplish once again the task to terraform an entire world!",https://www.igdb.com/games/the-planet-crafter-planet-humble,,,,1,2,3,288663,,,,,30434,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Milo and the Magpies,139600,"2,864",41,"2,905",94.18%,139600,0,117850,1630972800,6,14,milo-and-the-magpies,"Milo and the Magpies is a point-and-click, hidden object game following the story of a little cat named Milo who is trying to find his way home after getting turned around by an unfortunate encounter with some pesky magpies.",https://www.igdb.com/games/milo-and-the-magpies,,,,1,,,157307,157308,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Prom 3: Monster Roadtrip,198860,"2,828",40,"2,868",94.18%,198860,0,329246,1666310400,3,6,monster-prom-3-monster-roadtrip,"Embark on a road trip like no other in this co-op narrative survival adventure. Visit fun locations, meet wacky characters, and manage your resources wisely. And yes: you still can date some hot monsters!",https://www.igdb.com/games/monster-prom-3-monster-roadtrip,,,13,1,2,3,191075,,,,,21065,21066,21067,,14,,,,,,,,5,"Hit the road with ""Monster Prom 3: Monster Roadtrip"", a vibrant sequel that twists the Monster Prom formula in an exciting new way. At its core, this is a very similar game: a multiplayer narrative adventure full of colorful characters and fresh funny dialogues. But this time the goal isn't getting a date, but surviving a road trip (although you still can score a date if you play wisely).

You and up to 3 friends will face all kinds of wacky conflicts, choosing from options in order to manage your road trip resources. If a resource hits zero... you can kiss your trip goodbye! But fulfill the right requirements and you may reach one of the dreamy destinations that will put an epic end to this experience.",,,4,,,,,,,,,,,,,,,,,,,,
Danganronpa 2: Goodbye Despair,9694,"24,234",914,"25,148",94.17%,9694,0,115579,1343260800,3,6,danganronpa-2-goodbye-despair,"The follow up to Danganronpa: Trigger Happy Havoc. The main character, Hajime Hinata, a new 'Ultimate' student at Hope's Peak Academy. On their first day, Hajime and all of his classmates are taken on a field trip to the mysterious Jabberwock island by their anthropomorphic rabbit teacher, Usami. Usami explains that on this island the students are to have fun together and become friends to gather Hope Fragments. Usami's field trip does not go as planned when Monokuma appears and begins a new Killing Game. Anyone that wants to leave the island must commit a murder and get away with it. If the murderer is successful, he/she is allowed to leave the island, while everyone else is killed. When a murder occurs, the player investigates. After the investigations, a trial commences to determine who the culprit is.",https://www.igdb.com/games/danganronpa-2-goodbye-despair,85,10,,1,,,23117,34961,68752,,,,,,,14,38,46,130,,,,,1,,1718,25980,,,,,,,,,,,,2,,,,,,,,,
Saints Row: The Third,873,"65,195","2,892","68,087",94.15%,873,0,101200,1321315200,3,6,saints-row-the-third,"Saints Row: The Third is the first Saints Row game that takes place in the city of Steelport. Much like the first two games, the story revolves around the Saints destroying and absorbing three rival gangs, taking over the city in the process. In Saints Row: The Third, these three gangs are the Morningstar, the Luchadores, and the Deckers. Unlike the first two games, these three gangs are all controlled by a criminal organization known as The Syndicate, which the saints must also deal with.",https://www.igdb.com/games/saints-row-the-third,84.5,13,8,1,2,3,19007,245272,245273,245274,245275,609,,,,9,12,130,,,,,,2,"A while after the Ultor Corporation falls, the 3rd Street Saints have turned their street gang into a media empire, becoming icons and household names across the world, with their own energy drink, Japanese commercials, toys, a large fanbase, and a movie deal in the works. But when they attempt to rob a bank with actor Josh Birk, who is to play a Saint's member, their everyday routine takes an unlikely turn when the bank tellers unexpectedly start an all out gun war on the saints. The Saints attempt to airlift the vault out of the building, but when Birk foolishly sets off the alarm, it alerts the Stilwater P.D. and, after a large-scale firefight with police and S.W.A.T, the Saints are incarcerated.
In jail, Saints second-in-command Johnny Gat laments what the Saints have become, expressing disappointment at having strayed from their roots. At that point, an international criminal organization, called The Syndicate, bribes the police to release the Boss, Gat, and Shaundi. The three are forcibly taken to the Syndicate's leader Phillipe Loren, to try and negotiate a business plan with them aboard Loren's private jet. While in-flight, Loren tells them they will be allowed to live if they turn over 2/3 of the Saints' business in Stilwater. The Boss and Gat immediately reject this offer, and are able to fight their way out, with Gat commanding the plane back to Stilwater. The Boss and Shaundi use a parachute to escape the plane, but Gat is believed to be killed in the process.
Upon landing, the Boss and Shaundi find themselves in Steelport, the dystopian criminal city controlled by the Syndicate, a group of three gangs: The Morning Star, a gang with advanced technology equipment, controlled by Loren himself, the Luchadores, a Mexican gang lead by the killer wrestler Killbane, and the Deckers, a hacker-based gang led by Matt Miller. After calling Pierce Washington, the Boss's second-in-command, to Steelport, the Saints seize a Morning Star penthouse for their new headquarters, hijack a UAV from a military base, and begin attacking Morning Star's businesses, culminating with an attack on Syndicate Tower, Loren's headquarters, in which the Saints rescue Oleg Kirlov, an apparent superhuman and template for the Syndicate's Brute clones, and Loren is killed. When the Saints try to transport Gat's body to Stilwater for his funeral, Killbane, now leader of the Syndicate, leads an attack on them. The fight destroys Stilwater's Hughes Memorial Bridge in the process.
To retaliate, the player seeks out anti-Syndicate talent, recruiting Oleg as an enforcer, ex-FBI hacker Kinzie Kensington as an informant; Zimos, the oldest pimp in Steelport; and Angel de la Muerte, Killbane's vengeful former tag-team partner. They are later joined by Viola DeWynter after Killbane kills her twin sister Kiki out of rage due to a failed assassination attempt on the Boss. Her defection, however, coincides with the arrival of the paramilitary S.T.A.G. (Special Tactical Anti-Gang) forces in Steelport, created by Senator Monica Hughes after the destruction of the bridge to end gang violence once and for all. The Saints take on STAG regardless, resulting in Steelport going under martial law, whilst also dealing with the Syndicate.
After providing Kinzie with the appropriate technology, the player enters the Deckers mainframe, defeating Deckers leader Matt Miller's avatar in a virtual reality fight and driving him and most of the Deckers out of town. At Angel's insistence, the player opts to take on Killbane by killing the other contestants in his Murderbrawl XXXI pay-per-view to gain entrance, and then, with Angel's help, defeating Killbane in Murderbrawl with the option to unmask or spare him. Following his humiliating defeat, an enraged Killbane responds by instigating several attacks on the Saints and STAG throughout Steelport to cause chaos.
Whilst quelling the fighting between the Luchadores and STAG, the Boss is simultaneously informed that Killbane is escaping the city while STAG second-in-command Kia is holding Shaundi, Viola, and Mayor Burt Reynolds hostage at a Steelport monument rigged to blow to frame the Saints. The Boss kills Kia and saves Shaundi and the others, the Saints are hailed as heroes for saving the monument and STAG pulls out of Steelport with the threat that they will be back. The Boss tracks Killbane down to Mars and kill him in what is ultimately revealed to be a scene from the Saints sci-fi film Gangstas in Space, which the Boss and several members are acting in.
An alternate, non-canonical ending plays out should the player opt to eliminate Killbane. In which the destruction of the monument is used as a pretext by STAG to attack Steelport with the airborne aircraft carrier Daedalus. The Boss destroys the Daedalus, killing STAG leader Cyrus Temple in the process, and declares Steelport an independent city-state under the Saints' control, with Pierce taking charge as mayor, and the Boss as the ultimate leader.",3038,19234,,,,,,,,,,,,4,,,,,,132097,,,
Shadow Tactics: Blades of the Shogun,19085,"34,842","1,415","36,257",94.14%,19085,0,81948,1480982400,3,6,shadow-tactics-blades-of-the-shogun,"Skillfully hide from and sneak past the enemies fields of view, take their formations apart and hide their bodies to cover your tracks. Quick Save will enable you to execute your plans perfectly. Tactically plan actions for your whole team and execute them all at once. Make use of the vertical gameplay and jump from roof to roof to silently kill your foes from above.",https://www.igdb.com/games/shadow-tactics-blades-of-the-shogun,86.72727272727273,13,13,1,,,96523,115997,281914,,,,,,,14,48,49,,,,,,3,"In the year 1615 in Japan, a new Shogun seizes power over Japan and enforces nationwide peace. In his battle against conspiracy and rebellion, he recruits five specialists in assassination, sabotage and espionage.

The team must fight against the mysterious Kage-sama, who plans to overthrow the Shogun. They infiltrate castles, gather information through espionage, fight rebellions and ruthlessly eliminate Kage-sama’s allies. The group is comprised of very different personalities; working together as a team seems impossible at first. Yet over the course of many missions, trust is won and friendships are made. The characters develop their own dynamic and each member will face some kind of personal drama.",,,,,,,,,,,,,,,,,,,,,,,
BABBDI,229631,"5,147",118,"5,265",94.14%,229631,0,277988,1671667200,3,6,babbdi,"Find your way out of Babbdi. A short, first person exploration experience.",https://www.igdb.com/games/babbdi,,,13,1,,,204909,,,,,,,,,14,,,,,,,,1,"Visit the town of BABBDI, a forsaken district in the outer ring of the megalopolis. Meet its inhabitants and discover how to escape.",,,,,,,,,,,,,,,,,,,,,,,
Teardown,122666,"92,114","4,274","96,388",94.13%,122666,0,340691,1650499200,6,167,teardown,Prepare the perfect heist in this simulated and fully destructible voxel world. Tear down walls with vehicles or explosives to create shortcuts. Stack objects to reach higher. Use the environment to your advantage in the most creative way you can think of.,https://www.igdb.com/games/teardown,83.33333333333333,3,,1,,,88159,,,,,9771,,,,169,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,
WITCH ON THE HOLY NIGHT,201065,"3,469",62,"3,531",94.12%,201065,9,269426,1670371200,6,48,witch-on-the-holy-night,"Set in 1980s Japan, Witch on the Holy Night tells the story of fan-favorite Type-Moon character Aoko Aozaki as she attempts to navigate the complex world of magecraft while also dealing with the everyday struggles of life as a high school student! Players will experience the thrilling origin story of this much-beloved character, penned by Kinoko Nasu, famed creator of the Fate series, himself.",https://www.igdb.com/games/witch-on-the-holy-night,,,,1,,,193969,230733,230734,230735,230736,,,,,130,,,,,,,,5,"---Two witches live in a mansion on a hill---

The late 1980s. The twilight of an era full of splendor and vitality.
A young boy comes down to the city and crosses paths with two witches living in the modern age.

The boy has lived a very natural life.
She lives a dignified life with her breasts outstretched.
The girl lives in hiding as if she were asleep.

The three of them are three different star-crossed people.
They are not supposed to cross each other.
The three of them are different in every way, and their shared life together will not begin until a little while later...",2955,24283,,,,,,,,,,,,,,,,,,,,,
Outer Wilds,11737,"69,017","3,111","72,128",94.11%,11737,0,286788,1559001600,6,48,outer-wilds,"Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop. The newest member of the space program in a small village on the planet Timber Hearth, the player navigates a space shuttle and travels across their solar system to get to the bottom of its mysteries by exploring the cosmos and gathering the knowledge hidden within each of the system's planets, left behind by another civilization in the distant past.",https://www.igdb.com/games/outer-wilds,84.71428571428571,7,13,1,,,144456,145321,145322,,,,,,,49,130,167,169,,,,,1,"Welcome to the Space Program! You're the newest recruit of Outer Wilds Ventures, a fledgling space program searching for answers in a strange, constantly evolving solar system. What lurks in the heart of the ominous Dark Bramble? Who built the alien ruins on the Moon? Can the endless time loop be stopped? Answers await you in the most dangerous reaches of space.

The planets of Outer Wilds are packed with hidden locations that change with the passage of time. Visit an underground city of before it's swallowed by sand, or explore the surface of a planet as it crumbles beneath your feet. Every secret is guarded by hazardous environments and natural catastrophes.

Strap on your hiking boots, check your oxygen levels, and get ready to venture into space. Use a variety of unique gadgets to probe your surroundings, track down mysterious signals, decipher ancient alien writing, and roast the perfect marshmallow.",25737,35642,,,,,,,,,,,,,,,,,,,,,
Supreme Commander: Forged Alliance,888,"12,524",412,"12,936",94.11%,888,4,124251,1194307200,3,6,supreme-commander-forged-alliance,The Infinite War rages on across the galaxy. Negotiations have failed and our only hope for an end to the destruction is through victory in combat.,https://www.igdb.com/games/supreme-commander-forged-alliance,75,3,,1,2,,5189,5190,116400,,,25076,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Universe Sandbox,11813,"24,020",923,"24,943",94.10%,11813,0,173420,1440374400,3,6,universe-sandbox,"Create and destroy on an unimaginable scale... with a space simulator that merges real-time gravity, climate, collision, and material interactions to reveal the beauty of our universe and the fragility of our planet. Includes VR support for HTC Vive, Oculus Rift+Touch, and Windows Mixed Reality.",https://www.igdb.com/games/universe-sandbox,,,,1,,,25675,,,,,,,,,14,,,,,,,,7,,,,,4,,,,,,,,,,,,,,,,,,,
Beat Saber,83731,"70,044","3,182","73,226",94.09%,83731,0,94425,1558396800,161,162,beat-saber,"Beat Saber is an immersive rhythm experience you have never seen before! Enjoy tons of handcrafted levels and swing your way through the pulsing music beats, surrounded by a futuristic world. Use your sabers to slash the beats as they come flying at you – every beat indicates which saber you need to use and the direction you need to match. With Beat Saber you become a dancing superhero!",https://www.igdb.com/games/beat-saber,85,4,13,1,2,,258760,258761,,,,,,,,163,165,384,385,386,390,471,,1,"History
The development started in 2016 when we found out there is no great rhythm based game on VR. The game was showcased on many places and almost 700 people tried it so far. The response is overwhelming positive.

Features
Unique gameplay with a great feel - Beat Saber combines the satisfying feeling of cutting with emergent perception of rhythm.
Handcrafted levels & music - All the basic levels and music in the game will be handcrafted to emphasise the music rhythm. The results are incomparable to similar games with generated content.
Game longevity - The game can be played in short (few minutes) sessions in quick play mode or for many hours in career mode.
Game accessibility - Anyone can understand basic game principles and play the game in just a few seconds.",1081,,,,,,,,,,,,,6,7,,,,,,,,
Your Turn To Die -Death Game By Majority- ,120974,"1,985",19,"2,004",94.08%,120974,0,287427,1503878400,6,82,your-turn-to-die-death-game-by-majority,Your Turn To Die: Death Game By Majority is a multi-ending horror adventure game. Your decision will directly affect the story and final outcome!,https://www.igdb.com/games/your-turn-to-die-death-game-by-majority,,,448,1,,,109028,188025,,,,,,,,,,,,,,,,5,"Sara Chidouin returns home from school late one night to discover that something's gone terribly wrong. When she comes to, she finds herself, her friend Joe, and 9 other people trapped in a mysterious place.

Placed in life-and-death situations, they must come to an agreement about what they should do - and who should die.",12074,20943,,4,,,,,,,,,,,,,,,,,,,
Smushi Come Home,211223,"1,872",16,"1,888",94.08%,211223,0,302308,1686355200,6,14,smushi-come-home,"Play as a tiny lil' mushroom who's lost in the forest and can't find its way home. Explore unique areas freely at your own pace, chat with friendly inhabitants, and take on different adventures to get back home!",https://www.igdb.com/games/smushi-come-home,,,13,1,,,221025,221026,,,,,,,,130,,,,,,,,2,"Smushi Come Home is a cozy exploration adventure game where you play as a tiny mushroom who's trying to get back home! Play as Smushi, who was taken from its home unexpectedly and dropped into the middle of the forest. Lost and confused, you must journey through different areas of the forest and find your way back with the help of your new tools and fellow forest creatures!",27064,,,,,,,,,,,,,,,,,,,,,,
DOOM + DOOM II,313126,"21,047",794,"21,841",94.07%,313126,3,403974,1723075200,6,48,doom-plus-doom-ii,"Developed by id Software, and originally released in 1993, DOOM pioneered and popularized the first-person shooter, setting a standard for all FPS games. The critically acclaimed sequel, DOOM II, followed in 1994. Now the definitive, newly enhanced versions of DOOM + DOOM II are available as a combined product.",https://www.igdb.com/games/doom-plus-doom-ii,,,695,1,2,3,280640,280641,280642,,,,,,,49,130,167,169,,,,,1,"Doom (1993) - Original Version
The demons came and the marines died...except one. You are the last defense against Hell. Prepare for the most intense battle you’ve ever faced. Experience the complete, original version of the game released in 1993, now with all official content and Episode IV: Thy Flesh Consumed.

Doom II – Original Version
Hell has invaded Earth, and to save it, you must battle mightier demons with even more powerful weapons. This beloved sequel to the groundbreaking DOOM (1993) introduced players to the brutal Super Shotgun, the infamous Icon of Sin boss, and more intense FPS action.

TNT: Evilution
The UAC relocated their experiments to one of the moons of Jupiter. A spaceship, mistaken for a supply vessel, was granted access. But when it got close to the base, demons poured out. All your comrades were slaughtered or zombified. This time it's not about survival. It's about revenge.

The Plutonia Experiment
Every effort has been made by the nation's top scientists to close the seven interdimensional Gates of Hell, but one portal remains open. Alone, you must infiltrate the ravaged base, defeat the demon Gatekeeper, and seal the last Hell portal before the undead take over the world.

Master Levels for DOOM II
This expansion includes twenty additional levels, all with the same hell-spawned horrors and action of the base game. Each level was created by independent designers and supervised by id Software.

Sigil
Created by id Software co-founder, John Romero, and released as an episode-sized mod consisting of 18 new maps, Sigil fits in between the timelines of DOOM (1993) and DOOM II. Baphomet, the gatekeeper of Hell, “glitched the final teleporter with his hidden sigil, whose eldritch power brings you to even darker shores of Hell. You fight through this stygian pocket of evil to confront the ultimate harbingers of Satan, then finally return to become Earth’s savior.”

Legacy of Rust
Created in collaboration by id Software, Nightdive Studios, and MachineGames, Legacy of Rust is the newest episode for DOOM, and the first official episode since DOOM II to feature new demons and weapons. This 16-map Episode is broken up into two 8 map sections: The Vulcan Abyss and Counterfeit Eden.",,,4,,,,,,,,,,,,,,,,,,,,
Scarlet Hollow,139194,"2,288",28,"2,316",94.06%,139194,0,218345,1623369600,3,6,scarlet-hollow,"Scarlet Hollow is a horror-mystery game with sharp writing, dark humor, and hand-drawn art from Ignatz Award-winning graphic novelist Abby Howard.",https://www.igdb.com/games/scarlet-hollow,,,394,1,,,235471,,,,,,,,,14,,,,,,,,1,"Trapped in the dying Appalachian mining town of Scarlet Hollow for the funeral of your estranged aunt, you quickly find yourself at the center of a dark mystery that threatens your life and the fate of an entire town. Who lives, who dies, and the fate of an entire town rests on your shoulders.",,,,4,,,,,,,,,,,,,,,,,,,
Felvidek,238782,"2,147",24,"2,171",94.06%,238782,0,386886,1711670400,6,,felvidek,"Find out what unlikely events take place in this alternate history region of Slovak Highlands. This land is ravaged by Hussite pillagers and Ottoman spies while surreal horrors dwell in the dark. It's now up to Pavol, a fair knight with alcohol problems, to gather a party and stop those who oppose our kingdom.",https://www.igdb.com/games/felvidek,,,,1,,,266621,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,5,,,,,,,,
SOMA,9727,"39,541","1,678","41,219",94.05%,9727,0,106344,1442793600,3,6,soma,"Soma is a sci-fi horror game from Frictional Games, creators of the groundbreaking Amnesia and Penumbra series.

The radio is dead, food is running out, and the machines have started to think they are people. Underwater facility Pathos-II has suffered an intolerable isolation and we’re going to have to make some tough decisions. What can be done? What makes sense? What is left to fight for? Soma is a sci-fi horror game from Frictional Games, the creators of Amnesia: The Dark Descent. It is an unsettling story about identity, consciousness, and what it means to be human.",https://www.igdb.com/games/soma,81.25,17,279,1,,,69640,96455,,,,,,,,14,48,49,,,,,,1,"The radio has gone silent on PATHOS-2. As isolation bears down on the staff of the remote research facility, strange things are happening.

Machines are taking on human traits and alien constructions have started to interfere with routine. The world around them is turning into a nightmare.

The only way out is to do something unimaginable.",,,,,,,,,,,,,,,,,,,,,,,
Ghost Trick: Phantom Detective,236660,"4,672",106,"4,778",94.05%,236660,9,291689,1688083200,6,34,ghost-trick-phantom-detective--1,"""Ghost Trick: Phantom Detective"" was created by Shu Takumi, the creator of the Ace Attorney series, and is now back in a long-requested HD remaster of the original 2010 release!",https://www.igdb.com/games/ghost-trick-phantom-detective--1,86.33333333333333,6,354,1,,,207076,,,,,,,,,39,48,49,130,,,,,4,,25856,25857,,,,,,,,,,,,,,,,,,,,,
HuniePop,9655,"29,266","1,190","30,456",94.03%,9655,0,130491,1421625600,3,6,huniepop,"HuniePop is a 2015 adult dating sim/match-3 puzzle game published and developed by HuniePot. Funding for the game was raised via Kickstarter. It is available in two versions, one censored and one uncensored, although the censored one can easily be patched. The game follows a player (can be male/female) trying to woo a variety of women by going on dates with them, giving them gifts and talking to them.",https://www.igdb.com/games/huniepop,82.5,3,,1,,,23040,,,,,,,,,14,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,
Desperados III,107218,"13,281",456,"13,737",94.03%,107218,0,235318,1592265600,3,6,desperados-iii,"The Wild West. A place where the law is made by those with a gun in their hands, and is enforced by the henchmen at their command. A place where death is no stranger and the undertakers are working overtime… especially when people start playing Desperados III. This real-time tactics game, developed by German game studio Mimimi Games (Shadow Tactics: Blades Of The Shogun), lets players command a band of Desperados led by fan-favourite gunslinger John Cooper.",https://www.igdb.com/games/desperados-iii,85.88888888888889,11,13,1,,,69023,201415,,,,,,,,14,48,49,,,,,,3,,26044,,,,,,,,,,,,,,,,,,,,,,
